question,course,document
What is the expected start time of the course and how will it be communicated to students?,data-engineering-zoomcamp,5f1b0231
How do I access the live 'Office Hours' session at the beginning of the course?,data-engineering-zoomcamp,5f1b0231
Can I attend the course from a mobile device or only from a desktop computer?,data-engineering-zoomcamp,5f1b0231
What is the deadline for registering before the course starts?,data-engineering-zoomcamp,5f1b0231
Are there any other platforms besides Google Calendar and Slack that students should be aware of to stay updated on the course?,data-engineering-zoomcamp,5f1b0231
What are the specific requirements I need to fulfill before starting this course?,data-engineering-zoomcamp,58fa8869
Can you provide more details on what is meant by 'GitHub' in the context of course prerequisites?,data-engineering-zoomcamp,58fa8869
Are there any additional tools or software that I need to install before enrolling in the course?,data-engineering-zoomcamp,58fa8869
How do I link my GitHub account to access the required resources for the course?,data-engineering-zoomcamp,58fa8869
Can you provide a list of all necessary GitHub repositories and data engineering tools needed for this course?,data-engineering-zoomcamp,58fa8869
"I am interested in joining this course but I missed the initial start date, can I still participate and turn in assignments after the initial deadline?",data-engineering-zoomcamp,04d2574d
How will I be able to submit my final projects if I join the course after the original start date?,data-engineering-zoomcamp,04d2574d
Can you confirm if there are additional requirements or any prerequisites for joining a course that started without me?,data-engineering-zoomcamp,04d2574d
"Will I receive the same benefits as other students, such as access to online materials and instructor support, even though I'm joining late in the course?",data-engineering-zoomcamp,04d2574d
What kind of support will be available to students who join the course after it has already started?,data-engineering-zoomcamp,04d2574d
"I have registered for the Data Engineering Bootcamp, but I'm still unsure about what to expect. What will be covered in the course?",data-engineering-zoomcamp,4e079edc
The confirmation email says nothing about registration being checked against a list. How does that work exactly?,data-engineering-zoomcamp,4e079edc
"If registering for the bootcamp doesn't guarantee admission, then why would it help with interest gauging?",data-engineering-zoomcamp,4e079edc
How can I know if my submission will be accepted or not without receiving a confirmation email?,data-engineering-zoomcamp,4e079edc
What kind of feedback and support can I expect from instructors and peers during the course?,data-engineering-zoomcamp,4e079edc
I'm not familiar with Google Cloud. Can you recommend any tutorials or resources to help me get started?,data-engineering-zoomcamp,66038350
What is the most efficient way to set up Terraform and the other dependencies required for the course?,data-engineering-zoomcamp,66038350
"Are there any specific versions of Python, Anaconda, or Git that I should use for this course?",data-engineering-zoomcamp,66038350
How can I ensure that my Google Cloud account is ready to go before the first day of class?,data-engineering-zoomcamp,66038350
Can you provide an outline of what topics are covered in the prerequisites section of the syllabus? Are they assumed knowledge or do I need to study them beforehand?,data-engineering-zoomcamp,66038350
"How many Zoomcamps are held annually, and what are their respective start dates?",data-engineering-zoomcamp,8fc8eee5
"Can I attend any of the Zoom Camps without enrolling in the certification program, or do they need to be taken concurrently with a live cohort?",data-engineering-zoomcamp,8fc8eee5
"Are there separate Zoomcamp schedules for each course, such as Data-Engineering, MLOps, and Machine Learning?",data-engineering-zoomcamp,8fc8eee5
What is the general schedule for the Data-Engineering Zoomcamp 'live' cohort per year?,data-engineering-zoomcamp,8fc8eee5
"Can I take the non-certification Zoom Camps at any time of the year, or are there specific dates when they become available?",data-engineering-zoomcamp,8fc8eee5
"Will I need to learn any new tools or software for this course, and if so what exactly?",data-engineering-zoomcamp,afbf3447
How does the change in tools from Prefect/Airflow to Mage AI impact the learning experience?,data-engineering-zoomcamp,afbf3447
"Can you explain why the terraform videos were re-recorded, was there an issue with the previous version?",data-engineering-zoomcamp,afbf3447
Will I be able to use any pre-existing knowledge or skills gained from previous courses if they were using Prefect/Airflow?,data-engineering-zoomcamp,afbf3447
Are there any plans for future changes or updates to the course materials and tools?,data-engineering-zoomcamp,afbf3447
"Can I still access the course materials after it finishes? If so, how long will they be available?",data-engineering-zoomcamp,ab9965a7
How do I prepare for the next cohort of the course if I'm following the course materials on my own? Is there any additional guidance provided?,data-engineering-zoomcamp,ab9965a7
"What is a final capstone project, and how do I get involved in it if I'm taking the course after it finishes?",data-engineering-zoomcamp,ab9965a7
Will there be any updates or changes to the course materials or content after the course finishes?,data-engineering-zoomcamp,ab9965a7
Are there any additional resources available for students who are following the course materials outside of the main course period?,data-engineering-zoomcamp,ab9965a7
What kind of support can I expect if I take the course in self-paced mode?,data-engineering-zoomcamp,9cf6c773
Is it possible to get help with my issues before reaching out to the Slack channel?,data-engineering-zoomcamp,9cf6c773
Can I find answers to all my questions in this FAQ document?,data-engineering-zoomcamp,9cf6c773
How can I use the @ZoomcampQABot feature effectively to get help with my queries?,data-engineering-zoomcamp,9cf6c773
"Do I need to search only within the Slack channel, or are there other resources available?",data-engineering-zoomcamp,9cf6c773
I'm having trouble finding the videos for the course. Can you recommend a playlist on YouTube where I can refer to?,data-engineering-zoomcamp,5a990ed0
"How do I access additional videos, such as office hours videos, that are specific to each year?",data-engineering-zoomcamp,5a990ed0
The year-specific playlists can be found by referring to the playlist below: https://youtube.com/playlist?list=PL3MmuxUbc_hJed7dXYoJw8DoCuVHhGEQb&si=NspQhtZhZQs1B9F-,data-engineering-zoomcamp,5a990ed0
I noticed that the playlist I'm looking at doesn't have a year specified. Does this mean it's an older playlist?,data-engineering-zoomcamp,5a990ed0
How can I access the updated version of the playlist on Github that has thumbnails and a direct link to each video?,data-engineering-zoomcamp,5a990ed0
I saw that the Main “DATA ENGINEERING” playlist is pinned to the slack channel. How can I access it there?,data-engineering-zoomcamp,5a990ed0
"What is the expected time commitment for this course per week, and how can I estimate it based on my background and previous experience with modules?",data-engineering-zoomcamp,c699d56e
"Can you provide more information about the time commitment required for the course, such as a specific range or a detailed breakdown of the expected hours?",data-engineering-zoomcamp,c699d56e
Are there any resources available to help me calculate the time commitment for the course based on my individual circumstances?,data-engineering-zoomcamp,c699d56e
"How can I ensure that I am staying within the recommended time commitment of 5-15 hours per week, and what are the consequences if I exceed this range?",data-engineering-zoomcamp,c699d56e
"Can you provide any examples or case studies of students who have successfully completed the course with varying levels of background experience, and how they managed their time effectively?",data-engineering-zoomcamp,c699d56e
Can I still receive a certificate if I complete a self-paced course?,data-engineering-zoomcamp,863e7ea8
How does the peer-review process work for capstone projects in the live cohort?,data-engineering-zoomcamp,863e7ea8
What happens if I miss the live cohort and decide to pursue self-paced mode?,data-engineering-zoomcamp,863e7ea8
Can I still get feedback on my projects in self-paced mode?,data-engineering-zoomcamp,863e7ea8
Are there any alternative options for earning a certificate besides completing with a live cohort?,data-engineering-zoomcamp,863e7ea8
I'm having trouble accessing the video stream for the Office Hours. Can you provide more information about how to do so?,data-engineering-zoomcamp,c1c39b35
"If I miss the live office hour, will there be a recording available afterwards?",data-engineering-zoomcamp,c1c39b35
"I want to submit my questions during an Office Hour, but don't see any options in the chat. How can I do so?",data-engineering-zoomcamp,c1c39b35
Can you explain how Slido works and why is it used for submitting questions during Office Hours?,data-engineering-zoomcamp,c1c39b35
I'm concerned that my question will get lost if I post it in the chat during an Office Hour. Is there a way to ensure my question gets seen by the instructors?,data-engineering-zoomcamp,c1c39b35
"What happens if I miss the live Office Hours/workshop, and can't attend the recorded version afterwards either?",data-engineering-zoomcamp,7bcc7ed3
Can I only access the recorded Office Hours after they have ended for good?,data-engineering-zoomcamp,7bcc7ed3
Will there be a specific time frame in which I can watch the recorded Office Hours or is it available forever?,data-engineering-zoomcamp,7bcc7ed3
"Are all aspects of the Office Hours/workshop covered in the recording, such as Q&A sessions?",data-engineering-zoomcamp,7bcc7ed3
How will I know that the recording of the live Office Hours is available when I want to access it?,data-engineering-zoomcamp,7bcc7ed3
"What is the format of the homework and project submissions, and where can I find the latest deadlines?",data-engineering-zoomcamp,e1e06694
Will there be any extensions or late penalties for missing the homework and project deadlines?,data-engineering-zoomcamp,e1e06694
"How will my progress on homework and projects be assessed, and what are the criteria for evaluation?",data-engineering-zoomcamp,e1e06694
"Can I submit my homework and projects in groups, and if so, how do I register myself with my group members?",data-engineering-zoomcamp,e1e06694
Are there any additional resources or support available for students who need help with homework and project submissions?,data-engineering-zoomcamp,e1e06694
"Will I still receive credit for my homework if it's submitted after the due date, but before the form is closed?",data-engineering-zoomcamp,a345f216
What happens to my late submission if I confirm by the timestamp on the Course page?,data-engineering-zoomcamp,a345f216
Can I get an extension on the deadline for late submissions?,data-engineering-zoomcamp,a345f216
Do you have a specific process for submitting homework that's already past its original due date?,data-engineering-zoomcamp,a345f216
"If I submit my homework after the form is closed, how will it be treated in terms of grading?",data-engineering-zoomcamp,a345f216
What is considered a complete homework submission in terms of accessibility?,data-engineering-zoomcamp,2544a0f7
How do I ensure my GitHub repository or other storage location clearly indicates that it's related to our course work?,data-engineering-zoomcamp,2544a0f7
"Can I submit my code if I have it hosted elsewhere (e.g. personal website, Dropbox)?",data-engineering-zoomcamp,2544a0f7
"If I use a team repository for group projects, which one is considered the official submission?",data-engineering-zoomcamp,2544a0f7
What happens if my online storage location changes or becomes inaccessible after submitting homework?,data-engineering-zoomcamp,2544a0f7
I'm not sure how I should score points for my homework submissions. Can you provide more detail on what is counted towards the total?,data-engineering-zoomcamp,1fe7a0f0
How do I access my point total for a particular homework? Is it clearly displayed somewhere on that page?,data-engineering-zoomcamp,1fe7a0f0
"If I contribute to the FAQ section, does that count as part of my overall points total?",data-engineering-zoomcamp,1fe7a0f0
"I'm having trouble understanding how the leaderboard works. Can you explain the difference between points earned from Homeworks, FAQs, and Learning in Public?",data-engineering-zoomcamp,1fe7a0f0
Do I receive any bonus or penalty points for specific actions like earning an award or not meeting a certain deadline?,data-engineering-zoomcamp,1fe7a0f0
I'm not seeing my name on the leaderboard. How do I check if it's me?,data-engineering-zoomcamp,bacb5221
"If I change my display name, will that show up on the leaderboard?",data-engineering-zoomcamp,bacb5221
I'm not sure what my Display name is. Can you give me an example?,data-engineering-zoomcamp,bacb5221
How do I know which leaderboard I'm supposed to be on? Is it based on a specific skill level or something?,data-engineering-zoomcamp,bacb5221
Can I change my display name after the course has started?,data-engineering-zoomcamp,bacb5221
